CurrentConnectionsCurrentConnections,接続:現在の接続数Connection: Current connections,CountCount,平均Average,現在確立されているクライアント接続の数。Current number of client connections established.,ServerResourceTypeServerResourceType,,,,,,,
CleanerCurrentPriceCleanerCurrentPrice,メモリ:クリーナーの現在の価格Memory: Cleaner Current Price,CountCount,平均Average,"現在のメモリ価格 ($/バイト/時刻)。標準は 1,000 です。Current price of memory, $/byte/time, normalized to 1000.",ServerResourceTypeServerResourceType,,,,,,,
CleanerMemoryShrinkableCleanerMemoryShrinkable,メモリ:クリーナーの圧縮可能なメモリMemory: Cleaner Memory shrinkable,BytesBytes,平均Average,"バックグラウンド クリーナーによる削除の対象となるメモリの量 (バイト単位)。Amount of memory, in bytes, subject to purging by the background cleaner.",ServerResourceTypeServerResourceType,,,,,,,
CleanerMemoryNonshrinkableCleanerMemoryNonshrinkable,メモリ:クリーナーの圧縮不可能なメモリMemory: Cleaner Memory nonshrinkable,BytesBytes,平均Average,"バックグラウンド クリーナーによる削除の対象とならないメモリの量 (バイト単位)。Amount of memory, in bytes, not subject to purging by the background cleaner.",ServerResourceTypeServerResourceType,,,,,,,
MemoryUsageMemoryUsage,メモリ:メモリ使用量Memory: Memory Usage,BytesBytes,平均Average,"クリーナー メモリの価格の計算で使用されるサーバー プロセスのメモリ使用量。Memory usage of the server process as used in calculating cleaner memory price. Process\PrivateBytes カウンターの値に、メモリがマップされたデータのサイズを加えた値と等しくなります。xVelocity インメモリ分析エンジン (VertiPaq) によって xVelocity エンジンのメモリの制限を超えてマップされた (割り当てられた) メモリは無視されます。Equal to counter Process\PrivateBytes plus the size of memory-mapped data, ignoring any memory which was mapped or allocated by the xVelocity in-memory analytics engine (VertiPaq) in excess of the xVelocity engine Memory Limit.",ServerResourceTypeServerResourceType,,,,,,,
MemoryLimitHardMemoryLimitHard,メモリ:メモリの制限 - ハードMemory: Memory Limit Hard,BytesBytes,平均Average,"構成ファイルに指定されているハードのメモリの制限。Hard memory limit, from configuration file.",ServerResourceTypeServerResourceType,,,,,,,
MemoryLimitHighMemoryLimitHigh,メモリ:メモリの制限 - 高Memory: Memory Limit High,BytesBytes,平均Average,"構成ファイルに指定されているメモリの上限。High memory limit, from configuration file.",ServerResourceTypeServerResourceType,,,,,,,
MemoryLimitLowMemoryLimitLow,メモリ:メモリの制限 - 低Memory: Memory Limit Low,BytesBytes,平均Average,"構成ファイルに指定されているメモリの下限。Low memory limit, from configuration file.",ServerResourceTypeServerResourceType,,,,,,,
MemoryLimitVertiPaqMemoryLimitVertiPaq,メモリ:メモリの制限 - VertiPaqMemory: Memory Limit VertiPaq,BytesBytes,平均Average,"構成ファイルに指定されているインメモリの制限。In-memory limit, from configuration file.",ServerResourceTypeServerResourceType,,,,,,,
QuotaQuota,メモリ:QuotaMemory: Quota,BytesBytes,平均Average,"現在のメモリ クォータ (バイト単位)。Current memory quota, in bytes. メモリ クォータはメモリ付与またはメモリ予約とも呼ばれます。Memory quota is also known as a memory grant or memory reservation.",ServerResourceTypeServerResourceType,,,,,,,
QuotaBlockedQuotaBlocked,メモリ:ブロックされているクォータMemory: Quota Blocked,CountCount,平均Average,他のメモリ クォータが解放されるまでブロックされている現在のクォータ要求の数。Current number of quota requests that are blocked until other memory quotas are freed.,ServerResourceTypeServerResourceType,,,,,,,
VertiPaqNonpagedVertiPaqNonpaged,メモリ:VertiPaq 非ページMemory: VertiPaq Nonpaged,BytesBytes,平均Average,メモリ内エンジン用にワーキング セットでロックされているメモリの量 (バイト単位)。Bytes of memory locked in the working set for use by the in-memory engine.,ServerResourceTypeServerResourceType,,,,,,,
VertiPaqPagedVertiPaqPaged,メモリ:VertiPaq ページMemory: VertiPaq Paged,BytesBytes,平均Average,メモリ内エンジン用に使用されているページ メモリの量 (バイト単位)。Bytes of paged memory in use for in-memory data.,ServerResourceTypeServerResourceType,,,,,,,
RowsReadPerSecRowsReadPerSec,処理:1 秒あたりの読み取り行数Processing: Rows read per sec,CountPerSecondCountPerSecond,平均Average,すべてのリレーショナル データベースから読み取った行の比率。Rate of rows read from all relational databases.,ServerResourceTypeServerResourceType,,,,,,,
RowsConvertedPerSecRowsConvertedPerSec,処理:1 秒あたりの変換行数Processing: Rows converted per sec,CountPerSecondCountPerSecond,平均Average,処理中に変換された行の比率。Rate of rows converted during processing.,ServerResourceTypeServerResourceType,,,,,,,
RowsWrittenPerSecRowsWrittenPerSec,処理:1 秒あたりの書き込み行数Processing: Rows written per sec,CountPerSecondCountPerSecond,平均Average,処理中に書き込まれた行の比率。Rate of rows written during processing.,ServerResourceTypeServerResourceType,,,,,,,
CommandPoolBusyThreadsCommandPoolBusyThreads,スレッド:コマンド プールのビジー状態のスレッドThreads: Command pool busy threads,CountCount,平均Average,コマンド スレッド プール内にあるビジー状態のスレッドの数。Number of busy threads in the command thread pool.,ServerResourceTypeServerResourceType,,,,,,,
CommandPoolIdleThreadsCommandPoolIdleThreads,スレッド:コマンド プールのアイドル状態のスレッドThreads: Command pool idle threads,CountCount,平均Average,コマンド スレッド プール内にあるアイドル状態のスレッドの数。Number of idle threads in the command thread pool.,ServerResourceTypeServerResourceType,,,,,,,
LongParsingBusyThreadsLongParsingBusyThreads,スレッド:長時間解析を行っているビジー状態のスレッドThreads: Long parsing busy threads,CountCount,平均Average,長時間解析を行っているスレッド プール内にあるビジー状態のスレッドの数。Number of busy threads in the long parsing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
LongParsingIdleThreadsLongParsingIdleThreads,スレッド:長時間解析を行っているアイドル状態のスレッドThreads: Long parsing idle threads,CountCount,平均Average,長時間解析を行っているスレッド プール内にあるアイドル状態のスレッドの数。Number of idle threads in the long parsing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
LongParsingJobQueueLengthLongParsingJobQueueLength,スレッド:長時間解析を行っているジョブのキューの長さThreads: Long parsing job queue length,CountCount,平均Average,長時間解析を行っているスレッド プールのキューに登録されているジョブの数。Number of jobs in the queue of the long parsing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
ProcessingPoolBusyIOJobThreadsProcessingPoolBusyIOJobThreads,スレッド:処理中のプールのビジー状態の I/O ジョブのスレッドThreads: Processing pool busy I/O job threads,CountCount,平均Average,処理中のスレッド プール内で I/O ジョブを実行しているスレッドの数。Number of threads running I/O jobs in the processing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
ProcessingPoolBusyNonIOThreadsProcessingPoolBusyNonIOThreads,スレッド:処理中のプールのビジー状態の I/O 以外のスレッドThreads: Processing pool busy non-I/O threads,CountCount,平均Average,処理中のスレッド プール内で I/O 以外のジョブを実行しているスレッドの数。Number of threads running non-I/O jobs in the processing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
ProcessingPoolIOJobQueueLengthProcessingPoolIOJobQueueLength,スレッド:処理中のプール I/O ジョブ キューの長さThreads: Processing pool I/O job queue length,CountCount,平均Average,処理中のスレッド プールのキューに登録されている I/O ジョブの数。Number of I/O jobs in the queue of the processing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
ProcessingPoolIdleIOJobThreadsProcessingPoolIdleIOJobThreads,スレッド:処理中のプールのアイドル状態の I/O ジョブのスレッドThreads: Processing pool idle I/O job threads,CountCount,平均Average,処理中のスレッド プール内にある I/O ジョブのアイドル状態のスレッドの数。Number of idle threads for I/O jobs in the processing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
ProcessingPoolIdleNonIOThreadsProcessingPoolIdleNonIOThreads,スレッド:処理中のプールのアイドル状態の I/O 以外のスレッドThreads: Processing pool idle non-I/O threads,CountCount,平均Average,I/O 以外のジョブ専用の、処理中のスレッド プール内にあるアイドル状態のスレッドの数。Number of idle threads in the processing thread pool dedicated to non-I/O jobs.,ServerResourceTypeServerResourceType,,,,,,,
QueryPoolIdleThreadsQueryPoolIdleThreads,スレッド:クエリ プールのアイドル状態のスレッドThreads: Query pool idle threads,CountCount,平均Average,処理中のスレッド プール内にある I/O ジョブのアイドル状態のスレッドの数。Number of idle threads for I/O jobs in the processing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
QueryPoolJobQueueLengthQueryPoolJobQueueLength,スレッド:クエリ プール ジョブ キューの長さThreads: Query pool job queue length,CountCount,平均Average,クエリ スレッド プールのキューに登録されているジョブの数。Number of jobs in the queue of the query thread pool.,ServerResourceTypeServerResourceType,,,,,,,
ShortParsingBusyThreadsShortParsingBusyThreads,スレッド:短時間解析を行っているビジー状態のスレッドThreads: Short parsing busy threads,CountCount,平均Average,短時間解析を行っているスレッド プール内にあるビジー状態のスレッドの数。Number of busy threads in the short parsing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
ShortParsingIdleThreadsShortParsingIdleThreads,スレッド:短時間解析を行っているアイドル状態のスレッドThreads: Short parsing idle threads,CountCount,平均Average,短時間解析を行っているスレッド プール内にあるアイドル状態のスレッドの数。Number of idle threads in the short parsing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
ShortParsingJobQueueLengthShortParsingJobQueueLength,スレッド:短時間解析を行っているジョブ キューの長さThreads: Short parsing job queue length,CountCount,平均Average,短時間解析を行っているスレッド プールのキューに登録されているジョブの数。Number of jobs in the queue of the short parsing thread pool.,ServerResourceTypeServerResourceType,,,,,,,
memory_thrashing_metricmemory_thrashing_metric,メモリ スラッシングMemory Thrashing,PercentPercent,平均Average,平均的なメモリ スラッシング。Average memory thrashing.,ServerResourceTypeServerResourceType,,,,,,,
mashup_engine_qpu_metricmashup_engine_qpu_metric,M エンジン QPUM Engine QPU,CountCount,平均Average,マッシュアップ エンジン プロセスによる QPU 使用率QPU usage by mashup engine processes,ServerResourceTypeServerResourceType,,,,,,,
mashup_engine_memory_metricmashup_engine_memory_metric,M エンジン メモリM Engine Memory,BytesBytes,平均Average,マッシュアップ エンジン プロセスによるメモリ使用率Memory usage by mashup engine processes,ServerResourceTypeServerResourceType,,,,,,,
,,,,,,,,,,,,
Microsoft.ApiManagement/serviceMicrosoft.ApiManagement/service,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
TotalRequestsTotalRequests,ゲートウェイ要求の合計Total Gateway Requests,CountCount,合計Total,ゲートウェイ要求の数Number of gateway requests,"Location、HostnameLocation, Hostname",,,,,,,
SuccessfulRequestsSuccessfulRequests,成功したゲートウェイ要求Successful Gateway Requests,CountCount,合計Total,成功したゲートウェイ要求の数Number of successful gateway requests,"Location、HostnameLocation, Hostname",,,,,,,
UnauthorizedRequestsUnauthorizedRequests,未承認ゲートウェイ要求Unauthorized Gateway Requests,CountCount,合計Total,未承認ゲートウェイ要求の数Number of unauthorized gateway requests,"Location、HostnameLocation, Hostname",,,,,,,
FailedRequestsFailedRequests,失敗したゲートウェイ要求Failed Gateway Requests,CountCount,合計Total,ゲートウェイ要求における失敗の数Number of failures in gateway requests,"Location、HostnameLocation, Hostname",,,,,,,
OtherRequestsOtherRequests,その他のゲートウェイ要求Other Gateway Requests,CountCount,合計Total,その他のゲートウェイ要求の数Number of other gateway requests,"Location、HostnameLocation, Hostname",,,,,,,
DurationDuration,ゲートウェイ要求の全体の期間Overall Duration of Gateway Requests,ミリ秒Milliseconds,平均Average,ゲートウェイ要求の全体の期間 (ミリ秒単位)Overall Duration of Gateway Requests in milliseconds,"Location、HostnameLocation, Hostname",,,,,,,
容量Capacity,容量Capacity,PercentPercent,平均Average,ApiManagement サービスの使用状況メトリックUtilization metric for ApiManagement service,LocationLocation,,,,,,,
EventHubTotalEventsEventHubTotalEvents,EventHub イベントの合計数Total EventHub Events,CountCount,合計Total,EventHub に送信されるイベントの数Number of events sent to EventHub,LocationLocation,,,,,,,
EventHubSuccessfulEventsEventHubSuccessfulEvents,成功した EventHub イベント数Successful EventHub Events,CountCount,合計Total,成功した EventHub イベントの数Number of successful EventHub events,LocationLocation,,,,,,,
EventHubTotalFailedEventsEventHubTotalFailedEvents,失敗した EventHub イベント数Failed EventHub Events,CountCount,合計Total,失敗した EventHub イベントの数Number of failed EventHub events,LocationLocation,,,,,,,
EventHubRejectedEventsEventHubRejectedEvents,拒否された EventHub イベント数Rejected EventHub Events,CountCount,合計Total,拒否された EventHub イベントの数 (誤った構成または未承認)Number of rejected EventHub events (wrong configuration or unauthorized),LocationLocation,,,,,,,
EventHubThrottledEventsEventHubThrottledEvents,調整された EventHub イベント数Throttled EventHub Events,CountCount,合計Total,調整された EventHub イベントの数Number of throttled EventHub events,LocationLocation,,,,,,,
EventHubTimedoutEventsEventHubTimedoutEvents,タイムアウトした EventHub イベント数Timed Out EventHub Events,CountCount,合計Total,タイムアウトした EventHub イベントの数Number of timed out EventHub events,LocationLocation,,,,,,,
EventHubDroppedEventsEventHubDroppedEvents,破棄された EventHub イベント数Dropped EventHub Events,CountCount,合計Total,キューのサイズ制限に達したためスキップされたイベントの数Number of events skipped because of queue size limit reached,LocationLocation,,,,,,,
EventHubTotalBytesSentEventHubTotalBytesSent,EventHub イベントのサイズSize of EventHub Events,BytesBytes,合計Total,EventHub イベントの合計サイズ (バイト単位)Total size of EventHub events in bytes,LocationLocation,,,,,,,
RequestsRequests,RequestsRequests,CountCount,合計Total,ゲートウェイ要求数Gateway requests,"Location、BackendResponseCode、LastErrorReason、GatewayResponseCodeLocation, BackendResponseCode, LastErrorReason, GatewayResponseCode",,,,,,,
,,,,,,,,,,,,
Microsoft.Automation/automationAccountsMicrosoft.Automation/automationAccounts,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
TotalJobTotalJob,合計ジョブ数Total Jobs,CountCount,合計Total,ジョブの合計数The total number of jobs,"Runbook、StatusRunbook, Status",,,,,,,
TotalUpdateDeploymentRunsTotalUpdateDeploymentRuns,更新プログラムのデプロイの合計実行回数Total Update Deployment Runs,CountCount,合計Total,ソフトウェア更新プログラムのデプロイの実行回数の合計Total software update deployment runs,"SoftwareUpdateConfigurationName、StatusSoftwareUpdateConfigurationName, Status",,,,,,,
TotalUpdateDeploymentMachineRunsTotalUpdateDeploymentMachineRuns,更新プログラムのデプロイ マシンの合計実行回数Total Update Deployment Machine Runs,CountCount,合計Total,ソフトウェア更新プログラムのデプロイの実行における、ソフトウェア更新プログラムのデプロイ マシンの実行回数の合計Total software update deployment machine runs in a software update deployment run,"SoftwareUpdateConfigurationName、Status、TargetComputer、SoftwareUpdateConfigurationRunIdSoftwareUpdateConfigurationName, Status, TargetComputer, SoftwareUpdateConfigurationRunId",,,,,,,
,,,,,,,,,,,,
Microsoft.Batch/batchAccountsMicrosoft.Batch/batchAccounts,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
CoreCountCoreCount,Dedicated Core Count (専用コアの数)Dedicated Core Count,CountCount,合計Total,Batch アカウントの専用コアの合計数Total number of dedicated cores in the batch account,ディメンションなしNo Dimensions,,,,,,,
TotalNodeCountTotalNodeCount,Dedicated Node Count (専用ノードの数)Dedicated Node Count,CountCount,合計Total,Batch アカウントの専用ノードの合計数Total number of dedicated nodes in the batch account,ディメンションなしNo Dimensions,,,,,,,
LowPriorityCoreCountLowPriorityCoreCount,LowPriority Core Count (優先順位の低いコアの数)LowPriority Core Count,CountCount,合計Total,Batch アカウントの優先順位の低いコアの合計数Total number of low-priority cores in the batch account,ディメンションなしNo Dimensions,,,,,,,
TotalLowPriorityNodeCountTotalLowPriorityNodeCount,Low-Priority Node Count (優先順位の低いノードの数)Low-Priority Node Count,CountCount,合計Total,Batch アカウントの優先順位の低いノードの合計数Total number of low-priority nodes in the batch account,ディメンションなしNo Dimensions,,,,,,,
CreatingNodeCountCreatingNodeCount,作成ノード数Creating Node Count,CountCount,合計Total,作成されるノードの数Number of nodes being created,ディメンションなしNo Dimensions,,,,,,,
StartingNodeCountStartingNodeCount,開始ノード数Starting Node Count,CountCount,合計Total,開始するノードの数Number of nodes starting,ディメンションなしNo Dimensions,,,,,,,
WaitingForStartTaskNodeCountWaitingForStartTaskNodeCount,開始タスクの待機ノード数Waiting For Start Task Node Count,CountCount,合計Total,開始タスクの完了を待機しているノードの数Number of nodes waiting for the Start Task to complete,ディメンションなしNo Dimensions,,,,,,,
StartTaskFailedNodeCountStartTaskFailedNodeCount,開始タスクの失敗ノード数Start Task Failed Node Count,CountCount,合計Total,開始タスクが失敗したノードの数Number of nodes where the Start Task has failed,ディメンションなしNo Dimensions,,,,,,,
IdleNodeCountIdleNodeCount,アイドル状態のノード数Idle Node Count,CountCount,合計Total,アイドル状態のノードの数Number of idle nodes,ディメンションなしNo Dimensions,,,,,,,
OfflineNodeCountOfflineNodeCount,オフライン ノード数Offline Node Count,CountCount,合計Total,オフライン ノードの数Number of offline nodes,ディメンションなしNo Dimensions,,,,,,,
RebootingNodeCountRebootingNodeCount,再起動中のノード数Rebooting Node Count,CountCount,合計Total,再起動中のノードの数Number of rebooting nodes,ディメンションなしNo Dimensions,,,,,,,
ReimagingNodeCountReimagingNodeCount,再イメージ化中のノード数Reimaging Node Count,CountCount,合計Total,再イメージ化中のノードの数Number of reimaging nodes,ディメンションなしNo Dimensions,,,,,,,
RunningNodeCountRunningNodeCount,実行中のノード数Running Node Count,CountCount,合計Total,実行中のノードの数Number of running nodes,ディメンションなしNo Dimensions,,,,,,,
LeavingPoolNodeCountLeavingPoolNodeCount,プールから移動中のノード数Leaving Pool Node Count,CountCount,合計Total,プールから移動中のノードの数Number of nodes leaving the Pool,ディメンションなしNo Dimensions,,,,,,,
UnusableNodeCountUnusableNodeCount,使用できないノード数Unusable Node Count,CountCount,合計Total,使用できないノードの数Number of unusable nodes,ディメンションなしNo Dimensions,,,,,,,
PreemptedNodeCountPreemptedNodeCount,Preempted Node Count (割り込まれたノードの数)Preempted Node Count,CountCount,合計Total,割り込まれたノードの数Number of preempted nodes,ディメンションなしNo Dimensions,,,,,,,
TaskStartEventTaskStartEvent,タスク開始イベントTask Start Events,CountCount,合計Total,開始したタスクの合計数Total number of tasks that have started,ディメンションなしNo Dimensions,,,,,,,
TaskCompleteEventTaskCompleteEvent,タスク完了イベントTask Complete Events,CountCount,合計Total,完了したタスクの合計数Total number of tasks that have completed,ディメンションなしNo Dimensions,,,,,,,
TaskFailEventTaskFailEvent,タスク失敗イベントTask Fail Events,CountCount,合計Total,障害状態で完了したタスクの合計数Total number of tasks that have completed in a failed state,ディメンションなしNo Dimensions,,,,,,,
PoolCreateEventPoolCreateEvent,プール作成イベントPool Create Events,CountCount,合計Total,作成されたプールの合計数Total number of pools that have been created,ディメンションなしNo Dimensions,,,,,,,
PoolResizeStartEventPoolResizeStartEvent,プールのサイズ変更の開始イベントPool Resize Start Events,CountCount,合計Total,開始したプールのサイズ変更の合計数Total number of pool resizes that have started,ディメンションなしNo Dimensions,,,,,,,
PoolResizeCompleteEventPoolResizeCompleteEvent,プールのサイズ変更の完了イベントPool Resize Complete Events,CountCount,合計Total,完了したプールのサイズ変更の合計数Total number of pool resizes that have completed,ディメンションなしNo Dimensions,,,,,,,
PoolDeleteStartEventPoolDeleteStartEvent,プール削除の開始イベントPool Delete Start Events,CountCount,合計Total,開始したプール削除の合計数Total number of pool deletes that have started,ディメンションなしNo Dimensions,,,,,,,
PoolDeleteCompleteEventPoolDeleteCompleteEvent,プール削除の完了イベントPool Delete Complete Events,CountCount,合計Total,完了したプール削除の合計数Total number of pool deletes that have completed,ディメンションなしNo Dimensions,,,,,,,
JobDeleteCompleteEventJobDeleteCompleteEvent,ジョブ削除の完了イベントJob Delete Complete Events,CountCount,合計Total,正常に削除されたジョブの合計数。Total number of jobs that have been successfully deleted.,ディメンションなしNo Dimensions,,,,,,,
JobDeleteStartEventJobDeleteStartEvent,ジョブ削除の開始イベントJob Delete Start Events,CountCount,合計Total,削除を要求されたジョブの合計数。Total number of jobs that have been requested to be deleted.,ディメンションなしNo Dimensions,,,,,,,
JobDisableCompleteEventJobDisableCompleteEvent,ジョブ無効化の完了イベントJob Disable Complete Events,CountCount,合計Total,正常に無効化されたジョブの合計数。Total number of jobs that have been successfully disabled.,ディメンションなしNo Dimensions,,,,,,,
JobDisableStartEventJobDisableStartEvent,ジョブ無効化の開始イベントJob Disable Start Events,CountCount,合計Total,無効化を要求されたジョブの合計数。Total number of jobs that have been requested to be disabled.,ディメンションなしNo Dimensions,,,,,,,
JobStartEventJobStartEvent,ジョブの開始イベントJob Start Events,CountCount,合計Total,正常に開始されたジョブの合計数。Total number of jobs that have been successfully started.,ディメンションなしNo Dimensions,,,,,,,
JobTerminateCompleteEventJobTerminateCompleteEvent,ジョブ終了の完了イベントJob Terminate Complete Events,CountCount,合計Total,正常に終了されたジョブの合計数。Total number of jobs that have been successfully terminated.,ディメンションなしNo Dimensions,,,,,,,
JobTerminateStartEventJobTerminateStartEvent,ジョブ終了の開始イベントJob Terminate Start Events,CountCount,合計Total,終了を要求されたジョブの合計数。Total number of jobs that have been requested to be terminated.,ディメンションなしNo Dimensions,,,,,,,
,,,,,,,,,,,,
Microsoft.Cache/redisMicrosoft.Cache/redis,,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
connectedclientsconnectedclients,接続されているクライアント数Connected Clients,CountCount,最大値Maximum,,ShardIdShardId,,,,,,,
totalcommandsprocessedtotalcommandsprocessed,合計処理数Total Operations,CountCount,合計Total,,ShardIdShardId,,,,,,,
cachehitscachehits,キャッシュ ヒット数Cache Hits,CountCount,合計Total,,ShardIdShardId,,,,,,,
cachemissescachemisses,キャッシュ ミス数Cache Misses,CountCount,合計Total,,ShardIdShardId,,,,,,,
getcommandsgetcommands,取得数Gets,CountCount,合計Total,,ShardIdShardId,,,,,,,
setcommandssetcommands,設定数Sets,CountCount,合計Total,,ShardIdShardId,,,,,,,
operationsPerSecondoperationsPerSecond,1 秒あたりの操作回数Operations Per Second,CountCount,最大値Maximum,,ShardIdShardId,,,,,,,
evictedkeysevictedkeys,削除されたキー数Evicted Keys,CountCount,合計Total,,ShardIdShardId,,,,,,,
totalkeystotalkeys,合計キー数Total Keys,CountCount,最大値Maximum,,ShardIdShardId,,,,,,,
expiredkeysexpiredkeys,期限切れキー数Expired Keys,CountCount,合計Total,,ShardIdShardId,,,,,,,
usedmemoryusedmemory,メモリ使用量Used Memory,BytesBytes,最大値Maximum,,ShardIdShardId,,,,,,,
usedmemorypercentageusedmemorypercentage,使用されているメモリの割合Used Memory Percentage,PercentPercent,最大値Maximum,,ShardIdShardId,,,,,,,
usedmemoryRssusedmemoryRss,RSS メモリ使用量Used Memory RSS,BytesBytes,最大値Maximum,,ShardIdShardId,,,,,,,
serverLoadserverLoad,サーバーの負荷Server Load,PercentPercent,最大値Maximum,,ShardIdShardId,,,,,,,
cacheWritecacheWrite,キャッシュの書き込みCache Write,BytesPerSecondBytesPerSecond,最大値Maximum,,ShardIdShardId,,,,,,,
cacheReadcacheRead,キャッシュの読み取りCache Read,BytesPerSecondBytesPerSecond,最大値Maximum,,ShardIdShardId,,,,,,,
percentProcessorTimepercentProcessorTime,CPUCPU,PercentPercent,最大値Maximum,,ShardIdShardId,,,,,,,
cacheLatencycacheLatency,キャッシュの待機時間 (マイクロ秒単位) (プレビュー)Cache Latency Microseconds (Preview),CountCount,平均Average,,"ShardId、SampleTypeShardId, SampleType",,,,,,,
